y_test,y_pred,y_proba
0,0,0.2990895192850666
0,1,0.5449818867339495
0,0,0.31989153852861907
0,0,0.3398670021113755
0,0,0.3150361739490465
0,0,0.3808433916439683
0,0,0.21961300542949674
0,1,0.6399403803746688
0,1,0.7123356194260776
0,0,0.4853952435846752
1,1,0.8175662201479438
0,1,0.5403735966013925
0,0,0.24175818517023356
0,0,0.32461977812316295
0,0,0.45121022922399207
0,0,0.11196749507758444
0,1,0.5336113396414767
0,1,0.7502820636877789
1,1,0.9218325078508526
0,1,0.7807823319220514
1,1,0.6207706536651003
0,0,0.0628815378558131
0,0,0.14494843840925892
1,1,0.6117681343013114
0,0,0.2625467436916933
0,0,0.3622757433974065
0,0,0.34242350728369636
0,0,0.24182970655237493
0,0,0.4220199392286056
0,0,0.4391616595763972
0,0,0.2074408469514896
1,1,0.5442158897485447
0,1,0.5317800979274084
0,0,0.22672042339648163
0,0,0.3709656168351572
1,0,0.13155101128354268
0,0,0.2692122108984228
0,0,0.306119143509553
0,1,0.5610549956193878
1,1,0.8190626336701505
0,0,0.3536481255315661
0,0,0.19295233454567912
0,1,0.6026618571232636
1,1,0.5877551576116129
0,0,0.4261477918100632
0,0,0.44944980809537366
0,1,0.6367411749362549
1,1,0.8834381981911157
0,0,0.08640717721591804
1,1,0.5499621900781737
0,1,0.6260812455350302
0,1,0.5734473307692103
0,0,0.22176860556022
0,0,0.09068079123018638
0,0,0.43836644681037396
0,0,0.18030857670807088
0,1,0.8793527104952431
0,0,0.17749012536260275
0,0,0.39344572565365904
0,0,0.10188345769101195
0,0,0.08237488658473283
0,0,0.23571507259027463
1,1,0.7282271196969705
0,1,0.5681362988855999
0,0,0.1378492756104344
0,0,0.33736172864454855
1,1,0.5925625869101202
0,0,0.3517189706619563
0,0,0.08376333622749847
0,0,0.33771220800678137
0,0,0.27092477348568644
1,0,0.22664957507976113
0,0,0.20965960817710302
1,1,0.8791912101808743
1,1,0.5798069191392636
0,0,0.3531452681144594
0,0,0.18511240376748261
0,0,0.3975638134318854
0,0,0.2813311748581036
1,1,0.6808360786510668
0,0,0.13057337492540735
0,0,0.09553299691826642
1,0,0.21168599547050565
0,1,0.8928711235163693
0,0,0.39114864977138464
0,0,0.14990549985066148
0,1,0.9712188940212686
0,1,0.7063823998428542
0,0,0.20033573424974743
1,1,0.557476918217793
0,1,0.8900199530999435
0,0,0.38322048667588166
0,1,0.7829255187587555
0,0,0.05390893402424738
1,1,0.6201172182436652
0,0,0.2095652133337785
1,1,0.5974526773970473
0,0,0.4777737941455476
0,0,0.15445498737741292
0,0,0.055546699882143585
0,0,0.47501440104759984
0,0,0.2456085088593507
0,0,0.49948735586226617
1,1,0.7476937540372937
0,0,0.4457641964823991
0,0,0.4564143309300467
0,0,0.461124551632791
0,0,0.07396988465930483
0,0,0.2380029669886697
0,1,0.5589335464164018
0,0,0.20086856123132674
0,1,0.7887446902219287
0,1,0.5164594757958879
0,1,0.6678960580395198
0,0,0.30306031925681304
1,0,0.45089830393117564
0,0,0.3324277210339898
0,0,0.10814255584350521
0,1,0.5181180933700789
1,1,0.5837428517075155
0,0,0.3696090997011287
0,1,0.5115060195327397
0,0,0.16403355135585462
0,1,0.5559653262096519
0,0,0.2576068723867728
0,0,0.3310588476836196
0,0,0.30074331631256584
0,1,0.7267466354330056
0,1,0.7059418140927519
0,0,0.31027567445099136
0,0,0.26657633733583525
1,1,0.5797045056513733
0,0,0.18776412563256054
0,1,0.5315361994446347
0,1,0.5701600946445916
0,0,0.49871964860370005
0,1,0.5282749547966089
0,0,0.2564028784089061
0,0,0.2523946049952021
0,0,0.34691871827891835
0,0,0.352583639839847
0,0,0.3067779261356926
0,0,0.2793902993807575
0,0,0.13502820042985897
0,0,0.3439237274505559
0,0,0.21588928192319012
0,0,0.20250874575258168
0,0,0.0935235937742215
0,0,0.26008024106989036
0,0,0.4698069574472613
0,0,0.36350332808020547
0,1,0.70340743516523
0,0,0.20250614950949367
0,0,0.13776295573133562
0,1,0.8510110364002036
0,0,0.25858600833088086
0,1,0.5773824946066693
0,1,0.7523055911992169
0,0,0.08239397374851687
0,0,0.23628467537922715
0,1,0.5485676499784514
0,0,0.1462475660894216
1,0,0.4183370354804654
1,0,0.4036293297582808
1,1,0.5665763790894877
0,0,0.45087828619224546
0,0,0.44936031549888017
0,1,0.6796572628758291
0,0,0.344543222073241
0,0,0.18999315611729675
0,0,0.40356344395954075
0,0,0.389622514552783
0,0,0.08319333318848339
0,1,0.7767415487812123
0,0,0.322575282515334
0,0,0.28045443404820203
0,0,0.28515115382103157
0,0,0.05298747007955204
0,0,0.4967159143981286
0,0,0.4963308390886461
0,1,0.9178809425978364
0,0,0.4236825554812025
1,0,0.47607343517390605
1,1,0.5218889776764374
0,0,0.0715434319915414
0,0,0.48576087222160647
1,1,0.7857769037950112
1,1,0.6059623557147984
0,1,0.5378627629834746
0,1,0.6378574399220075
0,0,0.2730871058648289
0,0,0.14707338270335063
